"person";"txt"
"Chandler";"The problem is, though, after the concert's over, no matter how greatthe show was, you girls are always looking for the comedian again, y'know? I mean, we'rein the car, we're fighting traffic... basically just trying to stay awake."
"Rachel";"Yeah, well, word of advice: Bring back the comedian. Otherwise next timeyou're gonna find yourself sitting at home, listening to that album alone."
"Ross";"No, it's good, it is good, it's just that- mm- doesn't she seem a littleangry?"
"Marsha";"Well, she has issues."
"Ross";"Does she."
"Marsha";"He's out banging other women over the head with a club, while she sitsat home trying to get the mastodon smell out of the carpet!"
"Ross";"Marsha, these are cave people. Okay? They have issues like 'Gee, thatglacier's getting kinda close.' See?"
"Marsha";"Speaking of issues, isn't that your ex-wife?"
"Ross";"(trying to ignore her) No. No."
"Marsha";"Yes, it is. Carol! Hi!"
"Ross";"Okay, okay, yes, it is. (waves) How about I'll, uh, catch up with you inthe Ice Age."
"Ross";"Hi."
"Carol";"So."
"Ross";"You look great. I, uh... I hate that."
"Carol";"Sorry. You look good too."
"Ross";"Ah, well, in here, anyone who... stands erect... So what's new? Still,uh..."
"Carol";"A lesbian?"
"Ross";"Well... you never know. How's, um.. how's the family?"
"Carol";"Marty's still totally paranoid. Oh, and, uh-"
"Ross";"Why- why are you here, Carol?"
"Carol";"I'm pregnant."
"Ross";"Pregnant?!"
"Phoebe";"...Then I've already seen this one! (Turns off the TV.)"
"Monica";"(taking a drink from Joey) Are you through with that?"
"Joey";"Yeah, sorry, the swallowing slowed me down."
"Monica";"Whose little ball of paper is this?!"
"Chandler";"Oh, uh, that would be mine. See, I wrote a note to myself, and then Irealised I didn't need it, so I balled it up and... (sees that Monica is glaring at him)...now I wish I was dead."
"Phoebe";"She's already fluffed that pillow... Monica, you know, you've alreadyfluffed that- (Monica glares at her.) -but, it's fine!"
"Monica";"Look , I'm sorry, guys, I just don't wanna give them any more ammunitionthan they already have."
"Chandler";"Yes, and we all know how cruel a parent can be about the flatness of achild's pillow."
"Phoebe";"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you'relike all chaotic and twirly. And not-not in a good way."
"Joey";"Yeah, calm down. You don't see Ross getting all chaotic and twirly everytime they come."
"Monica";"That's because as far as my parents are concerned, Ross can do no wrong.Y'see, he's the Prince. Apparently they had some big ceremony before I was born."
"Chandler";"(looking out the window) Ew, ew, ew, ew ew ew ew ew!"
"Monica";"What?"
"Chandler";"Ugly Naked Guy got a Thighmaster!"
"All";"Eeaagh!"
"Rachel";"Has anybody seen my engagement ring?"
"Phoebe";"Yeah, it's beautiful."
"Rachel";"Oh God, oh God, oh God oh God oh God oh God.... (Starts to look underthe couch cushions.)"
"Phoebe";"No, look, don't touch that!"
"Rachel";"Oh, like I wasn't dreading tomorrow enough, having to give it back tohim... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in frontof your entire family!' Oh God and now I'm gonna have to return the ring, without thering, which makes it so much harder..."
"Monica";"Easy Rach, we'll find it. (To all) Won't we!"
"Chandler";"You don't get a lot of 'doy' these days..."
"Rachel";"I know I had it this morning, and I know I had it when I was in thekitchen with..."
"Chandler";"...Dinah?"
"Rachel";"(looks at the lasagne and realizes something) Ohhhhh, don't be mad..."
"Monica";"You didn't."
"Rachel";"Oh, I am sorry..."
"Monica";"I gave you one job! (Starts to examin the lasagne through the bottom ofthe glass pan.)"
"Rachel";"Oh, but look how straight those noodles are!"
"Chandler";"Now, Monica, you know that's not how you look for an engagement ringin a lasagne..."
"Monica";"(puts down the lasagne) I just... can't do it."
"Chandler";"Boys? We're going in."
"Monica";"Wow. That is not a happy hi."
"Ross";"Carol's pregnant."
"Phoebe";"(while everyone else is stunned) Ooh! I found it!"
"Monica";"W-w-wh-... wha-... w-w-w-..."
"Ross";"Yeah. Do that for another two hours, you might be where I am right aboutnow. (He enters.)"
"Chandler";"Kinda puts that whole pillow thing in perspective, huh, Mon?"
"Rachel";"Well now, how-how do you fit into this whole thing?"
"Ross";"Well, Carol says she and Susan want me to be involved, but if I'm notcomfortable with it, I don't have to be involved.. basically it's entirely up to me."
"Phoebe";"She is so great! I miss her."
"Monica";"What does she mean by 'involved'?"
"Chandler";"I mean presumably, the biggest part of your job is done."
"Ross";"Anyway, they want me to go down to this- sonogram thing with themtomorrow."
"Rachel";"So what are you gonna do?"
"Ross";"I have no idea. No matter what I do, though, I'm still gonna be a father."
"Mrs. Geller";"Oh, Martha Ludwin's daughter is gonna call you. (Tastes a snack)Mmm! What's that curry taste?"
"Monica";"Curry."
"Mrs. Geller";"Mmmm!"
"Ross";"I- I think they're great! I, I really do."
"Mr. Geller";"(To Ross) Do you remember the Ludwins? The big one had a thing foryou, didn't she?"
"Mrs. Geller";"They all had a thing for him."
"Ross";"Aw, Mom..."
"Monica";"I'm sorry, why is this girl going to call me?"
"Mrs. Geller";"Oh, she just graduated, and she wants to be something in cooking,or food, or.... I don't know. Anyway, I told her you had a restaurant-"
"Monica";"No Mom, I don't have a restaurant, I work in a restaurant."
"Mrs. Geller";"Well, they don't have to know that... (She starts to fluff the samepillow Monica fluffed multiple times earlier.)"
"Monica";"Ross, could you come and help me with the spaghetti, please?"
"Ross";"Yeah. (They go to the kitchen.)"
"Mrs. Geller";"Oh, we're having spaghetti! That's.... easy."
"Monica";"I know this is going to sound unbelievably selfish, but, were youplanning on bringing up the whole baby/lesbian thing? Because I think it might take someof the heat off me."
"Mrs. Geller";"What that Rachel did to her life.... We ran into her parents at theclub, they were not playing very well."
"Mr. Geller";"I'm not gonna tell you what they spent on that wedding... but fortythousand dollars is a lot of money!"
"Mrs. Geller";"Well, at least she had the chance to leave a man at the altar..."
"Monica";"What's that supposed to mean?"
"Mrs. Geller";"Nothing! It's an expression."
"Monica";"No it's not."
"Mr. Geller";"Don't listen to your mother. You're independent, and you always havebeen! Even when you were a kid... and you were chubby, and you had no friends, you werejust fine! And you would read alone in your room, and your puzzles..."
"Mr. Geller";"...And I read about these women trying to have it all, and I thankGod 'Our Little Harmonica' doesn't seem to have that problem."
"Monica";"(trying desperately to change the subject) So, Ross, what's going onwith you? Any stories? (Digs her elbow into his hand.) No news, no little anecdotes toshare with the folks?"
"Ross";"(pulls his hand away) Okay! Okay. (To his parents) Look, I, uh- I realiseyou guys have been wondering what exactly happened between Carol and me, and, so, well,here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnantwith my child, and she and Susan are going to raise the baby."
"Mrs. Geller";"(To Monica) And you knew about this?!"
"Joey";"Your folks are really that bad, huh?"
"Ross";"Well, y'know, these people are pros. They know what they're doing, theytake their time, they get the job done."
"Monica";"Boy, I know they say you can't change your parents,... boy, if youcould- (To Ross) -I'd want yours."
"Ross";"Must pee. (Goes to pee.)"
"Phoebe";"Y'know, it's even worse when you're twins."
"Rachel";"You're twins?"
"Phoebe";"Yeah. We don't speak. She's like this high-powered, driven career type."
"Chandler";"What does she do?"
"Phoebe";"She's a waitress."
"Rachel";"All right, you guys, I kinda gotta clean up now. (They all start toleave.)"
"Monica";"Chandler, you're an only child, right? You don't have any of this."
"Chandler";"Well, no, although I did have an imaginary friend, who... my parentsactually preferred."
"Rachel";"The lights, please.."
"Ross";"...How long was I in there?"
"Rachel";"I'm just cleaning up."
"Ross";"D'ya.. uh.. d'ya need any help?"
"Rachel";"Uh.. okay, sure! Thanks! (She hands him the broom and sits down.)"
"Ross";"Anyway.. um.. (Starts to sweep.) So, you- uh- you nervous about Barrytomorrow?"
"Rachel";"Oh.. a little.."
"Ross";"Mm-hmm.."
"Rachel";"A lot."
"Ross";"Mm."
"Rachel";"So, got any advice? Y'know, as someone who's recently been- dumped?"
"Ross";"Well, you may wanna steer clear of the word 'dumped'. Chances are he'sgonna be this, this broken shell of a man, y'know, so you should try not to look tooterrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll giveBarry back his ring, and you can go with Carol and Susan to the OB/GYN..."
"Rachel";"Oh, you've got Carol tomorrow.. When did it get so complicated?"
"Ross";"Got me."
"Rachel";"Remember when we were in high school together?"
"Ross";"Yeah."
"Rachel";"I mean, didn't you think you were just gonna meet somone, fall in love-and that'd be it? (Ross gazes at her.) ..Ross?"
"Ross";"Yes, yes!"
"Rachel";"Oh! Man, I never thought I'd be here.. (She leans back onto his hand.)"
"Ross";"Me either... (He pulls up a stool so that he doesn't have to move hishand.)"
"Ross";"(entering) Sorry I'm late, I was stuck at work. There was this bigdinosaur.. thing.. anyway."
"Susan";"Hi."
"Carol";"Ross, you remember Susan."
"Ross";"How could I forget?"
"Susan";"Ross."
"Ross";"(they shake hands) Hello, Susan. (To Carol) Good shake. Good shake. So,uh, we're just waiting for...?"
"Carol";"Dr. Oberman."
"Ross";"..Dr. Oberman. Okay. And is he-"
"Susan";"She."
"Ross";"-she, of course, she- uh- familiar with our.. special situation?"
"Carol";"Yes, and she's very supportive."
"Ross";"Okay, that's great. (Susan gives her drink to Carol.) No, I'm- Oh."
"Carol";"Thanks."
"Ross";"(picks up a surgical instrament and mimes a duck with it) Quack, quack.."
"Carol";"Ross? That opens my cervix. (He drops it in horror.)"
"Rachel";"Barry?"
"Barry";"C'mon in."
"Rachel";"(hesitates) Are you sure?"
"Barry";"Yeah! It's fine, it's fine. Robbie's gonna be here for hours."
"Robbie";"Huh?!"
"Barry";"So, how ya doin?"
"Rachel";"I'm- uh- I'm okay... You look great!"
"Barry";"Yeah, well.."
"Barry";"(answering the intercom) Be right there. (To Robbie and Rachel) Be backin a sec."
"Rachel";"I dumped him."
"Robbie";"Okay."
"Ross";"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know,when, like, important decisions have to be made?"
"Carol";"Give me a 'for instance'."
"Ross";"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with thebaby's name?"
"Carol";"Marlon-"
"Ross";"Marlon?!"
"Carol";"-if it's a boy, Minnie if it's a girl."
"Ross";"...As in Mouse?"
"Carol";"As in my grandmother."
"Ross";"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how aboutJulia?"
"Carol";"Julia.."
"Susan";"We agreed on Minnie."
"Ross";"'S'funny, um, uh, we agreed we'd spend the rest of our lives together.Things change, roll with the punches. I believe Julia's on the table..?"
"Barry";"Sorry about that. So. What have you been up to?"
"Rachel";"Oh, not much. I-I got a job."
"Barry";"Oh, that's great."
"Rachel";"Why are- why are you so tanned?"
"Barry";"Oh, I, uh- I went to Aruba."
"Rachel";"Oh no. You went on our honeymoon alone?"
"Barry";"No. I went with, uh.. Now, this may hurt."
"Robbie";"Me?!"
"Barry";"No! (To Rachel) I went with Mindy."
"Rachel";"Mindy?! My maid of honour, Mindy?!"
"Barry";"Yeah, well, uh, we're kind of a thing now."
"Rachel";"Oh! Well, um.. (Grabs his forehand) You've got plugs!"
"Barry";"Careful! They haven't quite taken yet."
"Rachel";"And you've got lenses! But you hate sticking your finger in your eye!"
"Barry";"Not for her. Listen, I really wanted to thank you."
"Rachel";"Okay.."
"Barry";"See, about a month ago, I wanted to hurt you. More than I've ever wantedto hurt anyone in my life. And I'm an orthodontist."
"Rachel";"Wow."
"Barry";"You know, you were right? I mean, I thought we were happy. We weren'thappy. But with Mindy, now I'm happy. Spit."
"Rachel";"What?"
"Robbie";"Me. (Spits.)"
"Rachel";"Anyway, um, (Gets the ring out of her purse.) I guess this belongs toyou. And thank you for giving it to me."
"Barry";"Well, thank you for giving it back."
"Robbie";"Hello?!"
"Susan";"Oh, please! What's wrong with Helen?"
"Ross";"Helen Geller? I don't think so."
"Carol";"Hello? It's not gonna be Helen Geller."
"Ross";"Thank you!"
"Carol";"No, I mean it's not Geller."
"Ross";"What, it's gonna be Helen Willick?"
"Carol";"No, actually, um, we talked about Helen Willick-Bunch."
"Ross";"Well, wait a minute, wha- why is she in the title?"
"Susan";"It's my baby too."
"Ross";"Oh, 's'funny, really? Um, I don't remember you making any sperm."
"Susan";"Yeah, and we all know what a challenge that is!"
"Carol";"All right, you two, stop it!"
"Ross";"No no no, she gets a credit, hey, I'm in there too."
"Carol";"Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause Ithink that borders on child abuse."
"Ross";"Of course not, I'm... suggesting Geller-Willick-Bunch."
"Susan";"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna sayall those names, so they'll wind up calling her Geller, then he gets his way!"
"Ross";"My way?! You-you think this is my way? Believe me, of all the ways I everimagined this moment in my life being, this is not my way- y'know what? Uh, um, this istoo hard. I'm not, I can't do-"
"Dr. Oberman";"(entering) Knock knock!How are we today? Any nausea?"
"All";"Yeah. Yeah. A little."
"Dr. Oberman";"Well, I was just wondering about the mother-to-be, but.. thanks forsharing. (To Carol) Uh, lie back.."
"Ross";"You- uh- y'know what, I'm gonna go. I don't- I don't think I can beinvolved in this particular thing right now."
"Ross";"Oh my God."
"Susan";"Look at that."
"Carol";"I know."
"Ross";"Well? Isn't that amazing?"
"Joey";"What are we supposed to be seeing here?"
"Chandler";"I dunno, but.. I think it's about to attack the Enterprise."
"Phoebe";"You know, if you tilt your head to the left, and relax your eyes, itkinda looks like an old potato."
"Ross";"Then don't do that, alright?"
"Phoebe";"Okay!"
"Ross";"(walks over to where Monica is standing)Monica. Whaddya think?"
"Monica";"(welling up) Mm-hmm."
"Ross";"Wh- are you welling up?"
"Monica";"No."
"Ross";"You are, you're welling up."
"Monica";"Am not!"
"Ross";"You're gonna be an aunt."
"Monica";"(pushes him and starts to cry) Oh shut up!"
"Phoebe";"(entering) Hi guys!"
"All";"Hey, Pheebs! Hi!"
"Ross";"Hey. Oh, oh, how'd it go?"
"Phoebe";"Um, not so good. He walked me to the subway and said 'We should do thisagain!'"
"All";"Ohh. Ouch."
"Rachel";"What? He said 'we should do it again', that's good, right?"
"Monica";"Uh, no. Loosely translated 'We should do this again' means 'You willnever see me naked'."
"Rachel";"Since when?"
"Joey";"Since always. It's like dating language. Y'know, like 'It's not you' means'It is you'."
"Chandler";"Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearingalcoholics and complaining about them to you'."
"Phoebe";"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha,I already am'."
"Rachel";"And everybody knows this?"
"Joey";"Yeah. Cushions the blow."
"Chandler";"Yeah, it's like when you're a kid, and your parents put your dog tosleep, and they tell you it went off to live on some farm."
"Ross";"That's funny, that, no, because, uh, our parents actually did, uh, sendour dog off to live on a farm."
"Monica";"Uh, Ross."
"Ross";"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they hadthis unbelievable farm, they had horses, and, and rabbits that he could chase and it was-it w- .....Oh my God, Chi Chi!"
"Chandler";""So how does it feel knowing you're about to die?""
"Joey";""Warden, in five minutes my pain will be over. But you'll have tolive with the knowledge that you sent an honest man to die.""
"Chandler";"Hey, that was really good!"
"Joey";"Thanks! Let's keep going."
"Chandler";"Okay. "So. Whaddya want from me, Damone, huh?""
"Joey";""I just wanna go back to my cell. 'Cause in my cell, I cansmoke.""
"Chandler";""Smoke away.""
"Chandler";"I think this is probably why Damone smokes in his cell alone."
"Joey";"What?"
"Chandler";"Relax your hand!"
"Chandler";"Not so much!"
"Joey";"Whoah!"
"Chandler";"Hey!"
"Joey";"Hey!"
"Chandler";"Alright, now try taking a puff."
"Chandler";"Alright.. okay. No. Give it to me."
"Joey";"No no no, I am not giving you a cigarette."
"Chandler";"It's fine, it's fine. Look, do you wanna get this part, or not? Here."
"Chandler";"Don't think of it as a cigarette. Think of it as the thing that's beenmissing from your hand. When you're holding it, you feel right. You feel complete."
"Joey";"Y'miss it?"
"Chandler";"Nah, not so much. Alright, now we smoke. (Takes a puff.) Oh.. my..God. (He continues to smoke.)"
"Monica";"No, no, no. They say it's the same as the distance from the tip of aguy's thumb to the tip of his index finger."
"Joey";"That's ridiculous!"
"Ross";"Can I use.. either thumb?"
"Rachel";"(carrying a tray of drinks) Alright, don't tell me, don't tell me!(Starts handing them out.) Decaf cappucino for Joey.. Coffee black.. Late.. And an icedtea. I'm getting pretty good at this!"
"All";"Yeah. Yeah, excellent."
"Rachel";"(leaving to serve others) Good for me!"
"Joey";"Y'okay, Phoebe?"
"Phoebe";"Yeah- no- I'm just- it's, I haven't worked- It's my bank."
"Monica";"What did they do to you?"
"Phoebe";"It's nothing, it's just- Okay. I'm going through my mail, and I open uptheir monthly, you know, STATEMENT-"
"Ross";"Easy."
"Phoebe";"- and there's five hundred extra dollars in my account."
"Chandler";"Oh, Satan's minions at work again..."
"Phoebe";"Yes, 'cause now I have to go down there, and deal with them."
"Joey";"What are you talking about? Keep it!"
"Phoebe";"It's not mine, I didn't earn it, if I kept it, it would be likestealing."
"Rachel";"Yeah, but if you spent it, it would be like shopping!"
"Phoebe";"Okay. Okay, let's say I bought a really great pair of shoes. Do you knowwhat I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I washappy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine,not-not-mine'..."
"Monica";"We're with you. We got it."
"Phoebe";"Okay. I'd- just- I'd never be able to enjoy it. It would be like thisgiant karmic debt."
"Rachel";"Chandler, what are you doing?"
"Monica";"(puling him up) Hey. Whaddya doing?"
"All";"Oh! Oh, God!"
"Ross";"What is this?!"
"Chandler";"I'm smoking. I'm smoking, I'm smoking."
"Phoebe";"Oh, I can't believe you! You've been so good, for three years!"
"Chandler";"And this- is my reward!"
"Ross";"Hold on a second, alright? Just think about what you went through the lasttime you quit."
"Chandler";"Okay, so this time I won't quit!"
"All";"Ohhh! Put it out!"
"Chandler";"All right! I'm putting it out, I'm putting it out. (He drops it inPhoebe's coffee.)"
"Phoebe";"Oh, no! I- I can't drink this now!"
"Monica";"Alright. I'm gonna go change, I've got a date."
"Rachel";"This Alan again? How's it goin'?"
"Monica";"'S'going pretty good, y'know? It's nice, and, we're having fun."
"Joey";"So when do we get to meet the guy?"
"Monica";"Let's see, today's Monday... Never."
"All";"Oh, come on! Come on!"
"Monica";"No. Not after what happened with Steve."
"Chandler";"What are you talking about? We love Schhteve! Schhteve was schhexy!..Sorry."
"Monica";"Look, I don't even know how I feel about him yet. Just give me a chanceto figure that out."
"Rachel";"Well, then can we meet him?"
"Monica";"Nope. Schhorry."
"Monica";"I mean, why should I let them meet him? I mean, I bring a guy home, andwithin five minutes they're all over him. I mean, they're like- coyotes, picking off theweak members of the herd."
"Paula";"Listen. As someone who's seen more than her fair share of bad beef, I'lltell you: that is not such a terrible thing. I mean, they're your friends, they're justlooking out after you."
"Monica";"I know. I just wish that once, I'd bring a guy home that they actuallyliked."
"Paula";"Well, you do realise the odds of that happening are a little slimmer ifthey never get to meet the guy.."
"Joey";"Let it go, Ross."
"Ross";"Yeah, well, you didn't know Chi Chi."
"Monica";"Do you all promise?"
"All";"Yeah! We promise! We'll be good!"
"Monica";"(shouts to Chandler) Chandler? Do you promise to be good?"
"Joey";"You can come in, but your filter-tipped little buddy has to stay outside!"
"Ross";"Hey, Pheebs."
"Phoebe";"'Dear Ms. Buffay. Thank you for calling attention to our error. We havecredited your account with five hundred dollars. We're sorry for the inconvenience, andhope you'll accept this- (Searches in her purse) -"
"Rachel";"What bank is this?"
"Monica";"Hey. It's him. (On the intercom) Who is it?"
"Joey";"(shouting to Chandler) Chandler! He's here!"
"Monica";"(to all) Okay, please be good,"
"Monica";"Hi. Alan, this is everybody. Everybody, this is Alan."
"Alan";"Hi."
"All";"Hi, Alan."
"Alan";"I've heard schho much about all you guyschh!"
"Monica";"(to Alan) Thanks. I'll call you tomorrow. (Alan exits, to all) Okay.Okay, let's let the Alan-bashing begin. Who's gonna take the first shot, hmm?"
"Monica";"C'mon!"
"Ross";"...I'll go. Let's start with the way he kept picking at- no, I'm sorry, Ican't do this, can't do this. We loved him."
"All";"Loved him! Yeah! He's great!"
"Monica";"Wait a minute! We're talking about someone that"
"All";"Yeah!"
"Rachel";"And did you notice...? (She spreads her thumb and index finger.)"
"Joey";"Know what was great? The way his smile was kinda crooked."
"Phoebe";"Yes, yes! Like the man in the shoe!"
"Ross";"...What shoe?"
"Phoebe";"From the nursery rhyme. 'There was a crooked man, Who had a crookedsmile, Who lived in a shoe, For a... while...'"
"Ross";"...So I think Alan will become the yardstick against which all futureboyfriends will be measured."
"Rachel";"What future boyfriends? Nono, I th- I think this could be, y'know, it."
"Monica";"Really!"
"Chandler";"Oh, yeah. I'd marry him just for his David Hasselhof impression alone.You know I'm gonna be doing that at parties, right? (Does the impression)"
"Ross";"You know what I like most about him, though?"
"All";"What?"
"Ross";"The way he makes me feel about myself."
"All";"Yeah..."
"Monica";"Hi.. how was the game?"
"Ross";"Well.."
"All";"WE WON!! Thank you! Yes!"
"Monica";"Fantastic! I have one question: How is that possible?"
"Joey";"Alan."
"Ross";"He was unbelievable. He was like that-that-that Bugs Bunny cartoon whereBugs is playing all the positions, right, but instead of Bugs it was first base-Alan,second base-Alan, third base-..."
"Rachel";"I mean, it-it was like, it was like he made us into a team."
"Chandler";"Yep, we sure showed those Hassidic jewellers a thing or two aboutsoftball.."
"Monica";"Can I ask you guys a question? D'you ever think that Alan is maybe..sometimes.."
"Ross";"What?"
"Monica";"..I dunno, a little too Alan?"
"Rachel";"Well, no. That's impossible. You can never be too Alan."
"Ross";"Yeah, it's his, uh, innate Alan-ness that-that-that we adore."
"Chandler";"I personally could have a gallon of Alan."
"Phoebe";"Hey, Lizzie."
"Lizzie";"Hey, Weird Girl."
"Phoebe";"I brought you alphabet soup."
"Lizzie";"Did you pick out the vowels?"
"Phoebe";"Yes. But I left in the Ys. 'Cause, y'know, "sometimes y". Uh,I also have something else for you. (She searches in her purse.)"
"Lizzie";"Saltines?"
"Phoebe";"No, but would you like a thousand dollars and a football phone?"
"Lizzie";"What? (She opens the envelope Phoebe has given her.) Oh my God, there'sreally money in here."
"Phoebe";"I know."
"Lizzie";"Weird Girl, what are you doing?"
"Phoebe";"No, I want you to have it. I don't want it."
"Lizzie";"No, no, I ha-I have to give you something."
"Phoebe";"Oh, that's fine, no."
"Lizzie";"Would you like my tin-foil hat?"
"Phoebe";"No. 'Cause you need that. No, it's okay, thanks."
"Lizzie";"Please, let me do something."
"Phoebe";"Okay, alright, you buy me a soda, and then we're even. Okay?"
"Lizzie";"Okay."
"Phoebe";"Okay."
"Lizzie";"Keep the change. (To Phoebe) Sure you don't wanna pretzel?"
"Phoebe";"No, I'm fine."
"Lizzie";"(leaves) See ya."
"Phoebe";"Huh!"
"Ross";"A"
"All";"Eww!"
"Phoebe";"I know! I know, I opened it up and there it was, just floating in there,like this tiny little hitch-hiker!"
"Chandler";"Well, maybe it's a contest, y'know? Like, collect all five?"
"Phoebe";"Does, um, anyone wanna see?"
"All";"Nooo!"
"All";"Oh, hey, don't do that! Cut it out!"
"Rachel";"It's worse than the thumb!"
"Chandler";"Hey, this is so unfair!"
"Monica";"Oh, why is it unfair?"
"Chandler";"So I have a flaw! Big deal! Like Joey's constant knuckle-crackingisn't annoying? And Ross, with his over-pronouncing every single word? And Monica, withthat snort when she laughs? I mean, what the hell is that thing? ...I accept all thoseflaws, why can't you accept me for this?"
"Joey";"...Does the knuckle-cracking bother everybody?"
"Rachel";"Well, I-I could live without it."
"Joey";"Well, is it, like, a little annoying, or is it like when Phoebe chews herhair?"
"Ross";"Oh, now, don't listen to him, Pheebs, I think it's endearing."
"Joey";"Oh, (Imitating Ross) "you do, do you"?"
"Ross";"You know, there's nothing wrong with speaking correctly."
"Rachel";""Indeed there isn't"... I should really get back to work."
"Phoebe";"Yeah, 'cause otherwise someone might get what they actually ordered."
"Rachel";"Ohh-ho-hooohhh. The hair comes out, and the gloves come on."
"Monica";"Did you ever go out with a guy your friends all really like?"
"Paula";"No."
"Monica";"Okay.. Well, I'm going out with a guy my friends all really like."
"Paula";"Waitwait.. we talking about the coyotes here? All right, a cow gotthrough!"
"Monica";"Can you believe it? ...Y'know what? I just don't feel"
"Paula";"Honey.. you should always feel"
"Monica";"I know.. it's gonna be really hard."
"Paula";"Well, he's a big boy, he'll get over it."
"Monica";"No, he'll be fine. It's the other five I'm worried about."
"Joey";"Do you have any respect for your body?"
"Ross";"Don't you realise what you're-you're doing to yourself?"
"Chandler";"Hey, y'know, I have had it with you guys and your cancer and youremphysema and your heart disease. The bottom line is, smoking is cool, and you know it."
